Model,Year,Mileage,HorsePower,Fuel,Transmission,Price
BMW 3,2010,169000,145 kW (197 CP),Diesel,automata,9500
BMW 3,2014,75591,120 kW (163 CP),Diesel,manuala,15650
BMW 3,2015,62000,185 kW (252 CP),Benzina,automata,27490
BMW 3,2014,95000,105 kW (143 CP),Diesel,manuala,14999
BMW 3,2007,179900,95 kW (129 CP),Benzina,manuala,4990
BMW 3,2016,30000,185 kW (252 CP),Benzina,automata,27900
BMW 3,2017,29980,185 kW (252 CP),Benzina,automata,25800
BMW 3,2016,164017,140 kW (190 CP),Diesel,automata,16590
BMW 3,2016,108148,140 kW (190 CP),Diesel,automata,19490
BMW 3,2007,102000,190 kW (258 CP),Benzina,manuala,13400
BMW 3,2008,110000,130 kW (177 CP),Diesel,manuala,11000
BMW 3,2012,63500,135 kW (184 CP),Benzina,automata,15600
BMW 3,2017,32000,140 kW (190 CP),Diesel,manuala,23750
BMW 3,2009,67390,105 kW (143 CP),Benzina,manuala,9490
BMW 3,2016,103661,140 kW (190 CP),Diesel,automata,20800
BMW 3,2009,259000,130 kW (177 CP),Diesel,automata,6599
BMW 3,2014,99637,135 kW (184 CP),Diesel,automata,23786
BMW 3,2015,82900,105 kW (143 CP),Diesel,manuala,14970
BMW 3,2015,89960,105 kW (143 CP),Diesel,manuala,17900
BMW 3,2014,71001,160 kW (218 CP),Diesel,automata,24360
BMW 3,2015,92259,160 kW (218 CP),Diesel,automata,21990
BMW 3,2016,80517,140 kW (190 CP),Diesel,automata,25980
BMW 3,2016,74573,140 kW (190 CP),Diesel,automata,22480
BMW 3,2015,73763,110 kW (150 CP),Diesel,automata,22900
BMW 3,2012,135000,140 kW (190 CP),Diesel,manuala,17850
BMW 3,2010,107000,125 kW (170 CP),Benzina,manuala,9800
BMW 3,2016,40900,140 kW (190 CP),Diesel,automata,22650
BMW 3,2015,55600,140 kW (190 CP),Diesel,manuala,17300
BMW 3,2013,93000,100 kW (136 CP),Benzina,manuala,15999
